p_name,policy_id,introduction,policy_type,support,operating_period,application_period,scale,p_region,p_age_max,p_age,p_region_income,p_education,p_major,p_employment,p_characteristic,detail,restriction,procedure,announcement,m_site,document,etc,a_name,m_name,a_site1,a_site2
서구 장학재단 대학 학자금 지원,R2021031101315,학자금 지원을 통해 지역사회가 필요로 하는 미래인재 육성,"주거·금융, 학자금 지원",장학금 지급,2021.01.01.~2021.12.31.,공고시 표기,-,광주 서구,999,제한없음,고일 현재 광주광역시 서구에 주민등록 상 6개월 이상 주소를 둔 주민과 그 자녀로 고등학교 또는 대학교에 재학중인 학생,"고교 재학, 대학 재학",제한없음,미취업자,"저소득층, 장애인",중복지원 범위 내 지급,"1. 고등학생의 경우 연간 수업료를 자치단체와 그 출연기관, 학교 등으로부터 장학금으로 지원받는 학생(통장자녀장학금·농업인자녀학자금 또는 타 기관, 단체의 장학금 등을 지원받은 자 등)2. 4년제 대학생으로 8학기를 초과하여 신청한 학생3. 2학기에 타 기관·단체로부터 장학금을 지원받아 실제 납부하여야 할 등록금이 50만원 미만인 학생(생활비 지원은 해당 없음)4. 전년도 서구 장학재단 장학생으로 선발되어 장학금을 지원받은 학생(단, 고등학교에서 장학금을 수령하고 대학에 진학한 학생은 신청가능)5. 전년도 다자녀장학생으로 선발된 가정의 학생",동 주민센터 또는 서구청 교육지원과로 신청 접수,공고 시 표기,-,"1. 장학금 지원 신청서, 장학생 추천서, 신청인 서약서, 재학증명서(대학생)2. 주민등록등본3. 개인정보 수집 및 이용·제공 및 조회 동의서",서구청홈페이지 내 서구장학재단,광주광역시 서구청 교육지원과,주관 기관과 동일,https://www.seogu.gwangju.kr/index.9is,https://www.seogu.gwangju.kr/index.9is
농업인 자녀 대학생 학자금 융자 지원,R2021021802595,농업인 자녀에게 교육비 부담경감 및 교육의 기회균등 제공,"주거·금융, 학자금 지원",농업인 대학생 자녀 학장금 융자지원,2021.01.01.~2021.12.31.,별도,제한없음,경기 오산시,34,만 18세 ~ 34세,오산시 거주 농업인 자녀 대학생,제한없음,제한없음,제한없음,제한없음,학자금 융자금 상환 기간 내,중복수혜불가,개별,신청서류 제출,농축산방역팀 문의,개별신청,-,오산시청 경제문화국 농축산정책과,주관기관과 동일,http://www.osan.go.kr,-
부산시 교육멘토링 사업,R2021031101092,교육멘토링 사업 참여 대학생에게 봉사장학금 지급,"주거·금융, 학자금 지원","교육멘토링 사업 참여 대학생에게 봉사장학금 지급- 40명 이내, 1인당 650천원",2021.04.28.~2022.01.28.,2021.상반기중,29명,부산 중구,999,제한없음,관내 저소득 초중고 학생 및 해양대 재학생,대학재학생,제한없음,제한없음,제한없음,-,"직전학기 징계받은 자, 성범죄자 등 제외",해양대학교 입학장학과 신청접수,참여자 개별 연락,-,"지원신청서, 서약서, 어학성적표, 활동증명서",,부산 중구청 홍보교육과,-,https://www.kmou.ac.kr/kmou/na/ntt/selectNttInfo.do?nttSn=10301242&mi=2032&currPage=1&searchType=sj&searchValue=%EB%A9%98%ED%86%A0%EB%A7%81,https://www.kmou.ac.kr/kmou/main.do
대학교 신입생 장학금 및 구직지원금 지원,R2021031101872,대학 신입생 장학금 및 사회 초년생의 구직 지원금을 지원하여 안정적인 구직활동 기여,"주거·금융, 학자금 지원",구직지원금 1회 100만원 지급 각 1인 1백만원,2월 ~ 12월,당해년도 고등학교 3학년 졸업식 이후 ~,-,전북 정읍시,34,만 18세 ~ 34세,"신 청 자 : 당해년도 졸업예정자(고3 졸업생) 또는 부모  ※ 당해년도 검정고시 합격자도 신청자 포함신청자격 : 관내, 관외 고등학교 졸업하고 학생 또는 그 부모가 관내에 3년 이상 주소를 둔 자(햇수로 3년 이상)- 당해년도 관내, 관외, 고등학교 3학년 졸업생 전원 약 1,350 여명- 졸업생 또는 그 부모가 관내에 3년 이상 주소를 둔 자(신청년도 포함하여 햇수로 3년 이상)",고교 졸업,제한없음,제한없음,제한없음,-,해당없음,주소지 읍면동사무소 방문 > 구비 서류 양식 작성 및 증빙서류 구비 > 읍면동사무소 방문 신청 / 팩스신청,"읍면동사무소 자격 심사구직지원금 1차분 지급(3월 15일한), 2차분 이후(매주 금요일 지급)/완료시까지",http://www.jeongeup.go.kr,"신청서, 졸업증명서(관외고 졸업시), 통장사본, 개인정보활용동의서, 신청서(읍면동사무소 비치) 1부, 대학합격통지서(장학금의 경우) 1부, 학생 본인 예금통장 사본 1부, 졸업증명서(관외 고등학교 졸업생의 경우) 1부",지급시기 :  2월 ∼ 3월중(집중기간 이후 신청자는 수시지급),정읍시청 교육체육청소년과,정읍시,http://www.jeongeup.go.kr/index.jeongeup?menuCd=DOM_000000103003004003,http://www.jeongeup.go.kr/
강원관광대 특별장학금,R2021031101415,지역 대학 재학생 장학금 지급으로 대학 경쟁력 강화 및 안정적 학사 운영 지원,"주거·금융, 학자금 지원",등록장학금 및 생활장학금 지원,2020.03.01.~2020.12.31.,"2020. 4월, 9월",970명,강원 태백시,999,제한없음,강원관광대학교에 재학중인 신입생 및 재학생으로 태백시에 주소 이전한 자,대학 재학,제한없음,제한없음,제한없음,태백시에 주소 이전 후 지원받은 연도는 주소 유지,-,1. 강원관광대 홈페이지에 접속하여 신청서 양식 다운2. 신청서 작성 및 증빙서류 구비3. 강원관광대 행정지원처에 접수,"6월, 12월 중 발표",http://main.kt.ac.kr/main.asp,-,-,행정지원국 평생교육과,-,http://ibsi.kt.ac.kr/ibsi/atguide/02.asp,http://ibsi.kt.ac.kr/
성남시 청년신용회복 지원,R2021021802390,학자금대출 장기연체 청년에 대한 신용회복지원을 통한 경제적 재기의 기회제공,"주거·금융, 학자금 지원",학자금대출 신용회복지원을 위한 한국장학재단 분할상환약정 초입금 지원 총 약정금액의 10퍼센트(100만원 이내),신청기간 : 2021. 3. 8.(월) 09:00 ~ 2021. 11. 30.(화) 18:00까지,연중,학자금대출 신용회복지원을 위한 한국장학재단 분할상환약정 초입금 지원 총 약정금액의 10퍼센트(100만원 이내),경기 성남시,34,만 19세 ~ 34세,다수인원 신청 시 선정기준 : 아래의 1 - 2 - 3 순으로 최종 선정1. 잔여 채무액이 많은 자2. 연체기간이 오래된 자3. 나이가 많은 자,제한없음,제한없음,제한없음,제한없음,-,-,"온라인접수 : 지원신청서 전산입력, 주민등록초본 첨부*주민등록초본(신청일로부터 30일 이내 발급한 서류, 최근 5년 이내 주소 변동 사항 포함, 주민등록번호 뒷자리 삭제(가리고) 첨부) 스캔, 핸드폰사진 등 pdf, jpg파일로 저장하여 온라인 첨부",한국장학재단 분할상환약정체결,https://www.seongnam.go.kr/city/1001979/11314/contents.do,"성남시 학자금 대출 장기연체자 신용회복 지원 신청서, 개인정보 수집 이용 및 제공 동의 필수본인 또는 직계존속의 주민등록초본 1부(신청일로부터 30일 이내 발급한 서류, 최근5년 주소이력, 주민등록번호 뒷자리 미포함 발급)동행정복지센터 방문발급, 정부민원포털 정부24 온라인발급개인정보 수집 이용 및 제공 동의* 직계존속 주민등록초본 제출 시 대상자와의 관계 확인 가능한 가족관계증명서(주민등록번호 뒷자리 미포함 발급) 첨부",한국장학재단 협약체결통한 사업추진,성남시청 행정기획조정실 청년정책과,시흥시정신건강복지센터,https://www.seongnam.go.kr/city/1001979/11314/contents.do,https://www.seongnam.go.kr/main.do
대학생 학자금 대출이자 지원,R2021031101032,수도권 대비 경쟁력이 약한 지역 대학생들에게 재학기간 중 대출한 학자금에 대한 이자 지원대책 마련,"주거·금융, 학자금 지원",지원금액 : 2016년 이후 한국장학재단 학자금 대출에 대한 2021년 발생이자지원규모 : 신청액이 예산액 초과시 예산범위내 저소득분위 우선 지원지원대상자 확인(장학재단 및 소속대학) 후 12월중 지원 부산시에서 한국장학재단으로 교부하여 처리,2021.01.01.~2021.12.31.,10월 중 예정,-,부산,999,제한없음,"1. 공고일 현재 부산지역 소재 대학교에 재,휴학중인 대학(원생) 및 (학부)졸업생(※졸업생 : 부산지역 거주자 중 졸업 후 2년 이내 미취업자)2. 2016년 이후 한국장학재단 학자금 대출을 받은 자3. 대출 해당학기를 기준으로소득 8분위 이내인 자(8분위 포함)",대학(원) 재휴학졸업생(졸업한날로부터 2년이내),제한없음,제한없음,제한없음,-,-,부산광역시 홈페이지 신청 접수  * 시홈페이지 - 청년플랫폼 - 생활안정 - 학자금대출이자지원,"12월 중 지원대상자 심사, 결과SMS발송 및 한국장학재단 홈페이지에서 확인",https://www.busan.go.kr/young/tuition00,"- 대학생 : 제츨서류 없음- 대학원생 : (소득분위 미산정시)소득관련 서류제출- 졸업생 : 주민등록초본, 건강보험자격득실확인서  ※ 사업계획에 따라 제출서류 변경가능",-,부산광역시청 성장전략국 대학협력단,(재)한국장학재단,https://www.busan.go.kr/young/tuition00,https://www.busan.go.kr/build/index
빛고을장학재단 장학금 지원,R2021031101241,장학생 선발 및 장학금 지급,"주거·금융, 학자금 지원","개인별 지급액 : 중 350천원, 고 500천원, 대 1,500천원",2021.01.01.~2021.12.31.,-,-,광주,999,제한없음,"1년 이상 광주광역시에 주민등록이 되어 있는 자로서, 광주광역시 지역 내 소재 학교에 재학 중인 학생",제한없음,제한없음,제한없음,제한없음,-,-,-,-,https://www.ndhs.or.kr/2014/index.php,-,-,광주광역시청 여성가족국 교육청소년과,빛고을장학재단,https://www.gwangju.go.kr/main.do,https://www.gwangju.go.kr/main.do
대학생 학자금 대출이자 지원,R2021021802201,2019년 1학기부터 한국장학재단으로부터 대출받은 학자금의 이자 지원,"주거·금융, 학자금 지원",한국장학재단으로부터 대출받은 학자금의 이자 지원,2021.01.01.~2021.12.31.,미정,"2,000여명",인천,999,제한없음,- 부모 또는 본인이 신청기준일 현재 1년 이상 인천광역시에 주민등록 되어 있는 한국장학재단 산정 소득 8분위 이하 국내 대학생과 졸업생(졸업 후 2년 이내 미취업자)- 다자녀 가구(3자녀 이상) 대학생 소득제한 없음,제한없음,제한없음,미취업자,다자녀 가구(3자녀 이상) 대학생 소득제한 없음,- 1년 이상 인천광역시 거주- 소득분위 8분위 이하,제한없음,#NAME?,-,https://www.incheon.go.kr,"주민등록초본, 재학(휴학,졸업)증명서, 가족관계증명서(다자녀), 고용보험피보험자격 이력내역서(졸업생)",-,기획조정실 평생교육담당관,주관기관과 동일,http://www.in2youth.kr/bbs/board.php?bo_table=intoyou_03&wr_id=20,http://in2youth.kr/
정읍시민 장학재단 장학금 지급사업,R2021031101874,"읍지역의 발전을 책임질 더 나아가 국가발전을 주도할 우수한 인재를 육성하기 위하여 장학생 선발, 지원 - 3억원의 설립기금으로 시작하였으나, 향후 적극적인 장학기금 모금활동으로 100억원까지 확충하여 많은 인재 배출 예정","주거·금융, 학자금 지원","고등학생 50만원, 2년제 대학 150만원, 4년제 대학 180만원 기준, 매년 금액 변동 가능",1월 ~ 12월,-,-,전북 정읍시,999,제한없음,"기본요건: 공고일현재 정읍시에 2년이상 주소를 두고 있는 부 또는 모의 자녀로, 관내 고등학교 재학생이거나 관내·외 대학교 재학생 ※ 단, 기혼자와 부모가 없는 경우 본인주소기간 적용학업성적- 고등학생: 신입생(당해연도 1학기 이수한 전과목 평점평균이 85점 이상인 자), 재학생(전년도 2학기와 당해연도 1학기 이수한 전과목 평점평균이 85점 이상인 자)- 대학생: 신입생(당해연도 1학기 평점평균이 85점 이상인 자), 재학생(전년도 2학기와 당해연도 1학기 평점평균이 85점 이상인 자 (복학생 및 편입생의 경우 : 당해연도 1학기 성적 적용), 한 학기 최소 15학점 이상 이수한 자)기타 이사회에서 특별히 인정하는 자 - 예·체능 특기자 : 공고일로부터 1년 이내로 전국대회 3위 이내, 도대회 1위 입상자이며 전체인원의 1/10을 초과하지 못함, 우수대학·우수학과 재학생 : 전체 선발인원의 20/100을 넘지 않음",제한없음,제한없음,제한없음,제한없음,(선발인원)① 장학생의 선발인원은 매년 예산의 범위 내에서 이사회의 의결을 거처 이사장이 정함② 신입생 및 재학생의 선발비율은 이사회의 의결을 거쳐 이사장이 정함③ 특수장학금 지급대상자의 선발인원은 예산의 범위내에서 이사회의 의결을 거쳐 이사장이 정함,해당없음,기본지원자격확인,재단 장학생선발 > 심사위원회 심사 > 재단이사회 승인 > 장학금수여,해당없음,"장학생 추천서, 성적증명서, 건강보험료 납부확인서 또는 자격득실확인서(국민기초수급자의 경우 의료급여증명서 차상위경감대상자의 경우 차상위경감), 주민등록등본(학생과 부모가 주소지가 다를 경우 가족관계증명서 제출) 등 ※ 대상자 증명서 제출 재학증명서","(선발기준)1. 장학생 선발 시 심사기준은 학업성적 가정형편 가산 60프로, 40프로 점으로 적용 - 학업성적 전년도 학기와 당해년도 학기의 평점평균 점수 적용 / 가정형편 부 모 건강보험료 합산 금액 적용. 단 기혼자의 경우 본인 및 배우자의 건강보험료 적용2. 특정학교 편을 막기 위해 한 학교에 선발인원을 총 선발인원의 15프로를 넘지 않음. 단 도내 년대의 경우 20프로3. 동점자 발생시 순위 성적 순위 가정형편 순으로 결정하고 두 항목 모두 1 , 2 , 동점일 경우 이사회에서 심의 결정4. 1세대 2명 이상 지원 시 1명만 선발",정읍시청 교육청소년과,재단법인 정읍시민장학재단,https://www.jcsf.or.kr:4433/contents.php?MENU=2_1&HEADER=2_1&SUBMENU=2&BODY=2_1,https://www.jcsf.or.kr
