p_name,policy_id,introduction,policy_type,support,operating_period,application_period,scale,p_region,p_age_max,p_age,p_region_income,p_education,p_major,p_employment,p_characteristic,detail,restriction,procedure,announcement,m_site,document,etc,a_name,m_name,a_site1,a_site2
결혼장려금 지원,R2021031101991,"저출산 문제를 극복하고 결혼과 출산을 장려하는 지역분위기 조성, 청년들의 결혼비용에 대한 어려움을 해소시켜 출산 유도, 인구증대","주거·금융, 생활비지원 및 금융 혜택","1부부당 결혼장려금 5,000천원, 혼인신고 후: 1,000천원, 1년 후: 2,000천원, 2년 후: 2,000천원",2020.01.01. ~ 2020.12.31.,혼인신고일로부터 6개월 이내,-,전북 순창군,39,만 19세 ~ 39세,"아래 요건을 모두 충족하는 자
1. 20191.1 이후 혼인신고 후 신고일로부터 6개월이 경과 하지 않은 자
2. 부부 중 한명이 만 19세 이상 49세 이하인 자
3. 혼인신고일 전까지 부부 중 한명이라도 관내에 1년 이상 주민등록을 두고 거주한 자 
4. 신청일 기준 부부가 관내에 주민등록을 두고 거주하는 자",제한없음,제한없음,제한없음,제한없음,"2019. 1. 1. 이후 혼인신고자 중
혼인신고일 전까지 부부중 한명이라도 군내에 주민등록을 두고 1년 이상 계속거주 해야 하고, 지원신청일 기준 부부가 함께 주민등록을 두고 군내에 거주하는 자","(2년간 3회 분할 지급)*재혼까지만 인정
-지원중단 및 환수: 최초 결혼장려금을 최초 수령후 1년 이내에 부부중 1명이라도 전출 또는 이혼 등으로 지원 자격을 상실한 경우 전액 환수 조치함
- 장려금 수령 1년이후 전출 또는 이혼등으로 지원자격을 상실한 경우에는 지원 중단",주소지 관할 읍면사무소 방문접수,신청서 검토 후 계좌입금,-,"인구늘리기 시책지원 신청서
결혼장려금 지원사업 이행 서약서
혼인고나계 증명서
통장사본",해당사항 없음,순창군청 행정과 인구정책계,-,https://www.sunchang.go.kr/board/view.sunchang?boardId=BBS_0000011&menuCd=DOM_000000110001001000&orderBy=Uk1ETPaA5hNB$GYaJ0rQ9k1ofNsRM5c3&paging=ok&startPage=1&searchType=DATA_TITLE&keyword=%EA%B2%B0%ED%98%BC%EC%9E%A5%EB%A0%A4%EA%B8%88&dataSid=135218,https://www.sunchang.go.kr/
보호종료아동 자립수당,R2021031100506,아동복지시설·가정위탁 보호종료 3년 이내 아동에게 매월 30만원 지급,"주거·금융, 생활비지원 및 금융 혜택","방문신청·우편신청 시, 자치구에서 보장결정하여 매월 30만원 지급(최대 36개월)",2019~현재,상시접수,매월 30만원,서울,999,제한없음,보호종료 후 36개월,제한없음,제한없음,-,제한없음,- 서비스 이용 청년: 19~39세 청년층,-,"아동복지시설 관할 읍,면,동 및 본인 주민등록 상 주소지 읍,면,동 통한 신청",,-,-,-,서울시청 가족담당관,-,https://news.seoul.go.kr/welfare/archives/511971,https://wis.seoul.go.kr/main.do
청년희망키움통장,R2022010701021,"일하는 생계수급 청년이 가처분 소득 감소없이 자산을 축적하고, 근로 인센티브를 부여함으로써 탈수급 및 자립을 지원","주거·금융, 생활비지원 및 금융 혜택","(지원내용)  저축액 적립/지원. 3년 만기일시지급식
 - 월 저축액 : 근로,사업소득공제액 10만원 + 근로소득 장려금(1인 평균 31만 6천원)
 - 3년 후 평균 15백만원 적립
(지원요건) 가입기간 동안 지속적으로 근로·사업소득이 발생하는 근로·사업활동을 하여야 하며 3년 이내 생계급여 탈수급",연중,미정,-,중앙부처,39,만 15세 ~ 39세,"(지원대상) 
 - 소득인정액이 기준 중위소득 30프로 이하인 생계수급 가구의 청년(만 15세 이상 39세 이하)
 - 가입일 현재 근로활동을 하고 있는 청년
 * 청년 개인의 가입기준 충족 시, 타 가구원 가입 여부와 관계없이 가입 가능",제한없음,제한없음,"재직자, 자영업자",저소득층,"(지원기준) 가입 및 통장유지시 가입자 본인의 근로·사업소득이 1인가구 기준중위소득 20프로 이상이어야 하며 사업 참여기간 동안 소득이 지속적으로 발생하여야 함
 대학교 근로장학금, 무급근로, 실업급여, 유아휴직수당 수급 중의 경우 가입 불가","청년희망키움통장 및 유사 자산형성사업 수혜자는 재가입 불가
- 희망키움통장1에 가입 중인 가구의 경우 기존 통장을 환수해지 후 신규 가입해야 함
- 청년희망키움통장으로 전환하여 가입하고자 하는 경우 희망키움통장1에서 적립된 지원금은 청년희망키움통장 해지시 일정 요건을 만족하는 경우 지급","읍면동 주민센터 방문 접수
1.지원신청(주민센터)
 - 가구원 중 청년이 신청
2.대상자 결정(시군구)
3.결과통보(시군구>대상자)
4.계좌개설(신청자/가입자)
5.지원금 적립(시군구)",개별 통보,-,-,"근로소득장려금 사용 용도
- 주택구입 및 임대
- 본인 및 자녀의 고등교육 및 기술훈련
- 사업의 창업 및 운영자금
- 그 밖의 자활·자립에 활용
- 본인적금계좌 개설 필수, 본인적급 납입 의무는 없으나 매월 최대 50만원까지 자유 납입 가능",보건복지부 자립지원과,관할 읍면동 주민센터,http://www.hopegrowing.com/younghope01.jsp,https://www.kdissw.or.kr/main/
(대전 동구) 청년저축계좌,R2021031100928,일하는 차상위 계층 청년을 대상으로 자산형성기회 지원을 통해 사회안착 및 자립을 촉진하고 사회 참여 기회를 제공하는 자산형성지원사업,"주거·금융, 생활비지원 및 금융 혜택",본인적립금(10만원)을 저축하면 근로소득장려금(30만원) 매칭(1:3) 지원,2021.01.01.~2021.12.31.,- 1차: 2021. 2.1.(월)~2021. 2.19.(금)- 2차: 2021.5.3.(월)~2021.5.20.(목)- 3차: 2021.8.2.(월)~2021.8.19.(목)- 4차: 2021.10.11.(월)~2021.10.28.(목),55명,대전 동구,39,만 15세 ~ 39세,소득인정액이 기준중위소득 50퍼센트 이하인 만 15세~39세,제한없음,제한없음,"재직자, 자영업자",저소득층,연 1회 확인조사를 통해 가입유지 기준에 따른 가입유지 검토,#NAME?,#NAME?,- 1차 2021. 4. 21.까지 가입대상자 선정 및 적합통보- 2차 2021. 7. 21.까지 가입대상자 선정 및 적합통보- 3차 2021.10. 21.까지 가입대상자 선정 및 적합통보- 4차 2021.12. 21.까지 가입대상자 선정 및 적합통보- 매달 30일까지 근로소득장려금 (한국자활복지개발원) 적립,-,- 사회복지서비스 및 급여 제공(변경)신청서- 청년저축계좌 참여(변경)신청서- 저축동의서- 개인정보제공 및 활용동의서- 금융정보 등 제공동의서- 근로활동 및 소득신고서 등 소득관련 증빙서류- 청년저축계좌 자가진단표,- 전액지급요건: 자립역량교육 (총 3회) 이수 + 국가공인자격증 취득 + 사용용도 증빙,대전 동구청 사회복지과 자활의료팀,한국자활복지개발원,http://www.hopegrowing.com/,https://www.donggu.go.kr/dg/kor/contents/963
산후관리비 지원,R2021021802916,산모의 건강관리를 증진하고 출산가정의 경제적 부담 경감 및 청년층 가구의 자녀양육에 따른 경제적 부담 경감,"주거·금융, 생활비지원 및 금융 혜택",출산 시마다 50만원 지원,2021.01.01.~2021.12.31.,출산일로부터 60일 이내에 신청,"1,000명",충북 충주시,999,제한없음,출산일 기준으로 12개월 전부터 신청일까지 계속하여 충주시에 주민등록이 되어있는 출생아의 부 또는 모,제한없음,제한없음,제한없음,제한없음,충주시에 출생신고 한 출생아에 한함1년 미만 거주자는 지원대상이 아님(소급 불가능),-,출생신고 주소지 읍·면·동 주민센터에서 [출산서비스통합신청서]로 신청,-,-,"출생증명서, 부부신분증, 입출금통장",-,충주시청 보건소 건강증진과,충주시청 보건소 건강증진과,https://www.chungju.go.kr/health/contents.do?key=2958,https://www.chungju.go.kr/
(건강보험) 임의계속가입제도,R2021060700123,실업자에 대한 경제적 부담을 완화하고자 임의계속가입자 보험료가 지역보험료 보다 적은 경우 임의계속보험료로 납부할 수 있도록 하는 제도,"주거·금융, 생활비지원 및 금융 혜택",- 임의계속가입자 보험료 = [보수월액보험료가 산정된 최근 12개월간의 보수월액을 평균한 금액×연도별 직장가입자 보험료율×50퍼센트(경감)]+소득월액보험료- 36개월 동안은 지역보험료 대신 임의계속가입자 보험료 납부- 직장가입자와 동일하게 피부양자 등재 가능,-,상시 (지역가입자가 된 이후 최초로 고지 받은 지역보험료의 납부기한에서 2개월이 지나기 이전까지 신청),-,중앙부처,999,제한없음,"- 사용관계가 끝난 사람(퇴사자) 중 직장가입자로서의 자격을 유지한 기간이 보건복지부령으로 정하는 기간 동안 통산 1년 이상인 사람 (법 제110조) (2018.07.01.부터 개정시행)- 퇴직 이전 18개월 기간 동안 직장가입자로서의 자격을 유지한 기간이 통산 1년 이상인 사람으로, 종전의 직장가입자보험료(보수월액보험료+소득월액보험료)를 납부하고자 공단에 신청한 자",제한없음,제한없음,제한없음,제한없음,"- 국민건강보험법 제110조 제1항에 의거 임의계속가입 자격은 지역가입자가 된 후 최초로 고지받은 지역보험료 납부기한에서 2개월이 지나기 이전까지 신청하여야 하고, 제2항에 의거 임의계속을 신청한 자가 최초로 고지한 임의계속 보험료를 그 납부기한부터 2개월이 지난 날까지 납부하지 않을 경우 임의계속 가입자 자격이 상실되며 지역가입자로 변동- 임의계속 세대의 소득 및 재산변동 등으로 임의계속가입자로서의 자격을 더 이상 유지하지 않으려는 사람은 「임의계속탈퇴 신청서」를 작성하여 공단에 제출하여야 하며, 해당 임의계속가입자는 임의계속탈퇴 신청서가 공단에 접수된 날의 다음 날로 그 자격이 상실됨",-,#NAME?,-,가까운 국민건강보험공단 문의 (지사찾기 ▶https://www.nhis.or.kr/nhis/about/retrieveBranchList.do),-,-,보건복지부,국민건강보험공단,https://www.nhis.or.kr/nhis/policy/wbhada05100m01.do,https://www.nhis.or.kr/nhis/index.do
출산축하금 지원,R2021021803929,출산가정의 경제적 부담을 덜어주고 우리군의 인구증가 및 저출산 극복,"주거·금융, 생활비지원 및 금융 혜택","첫째 100만원, 둘째 200만원, 셋째 이후 300만원",2021.01.01.~2021.12.31.,2021.01.01.~2021.12.31.,250명,경남 거창군,999,제한없음,"부 또는 모가 군에 3개월 이상 주민등록을 두고 거주하면서, 출산일부터 1년 이내에 신청하는 부 또는 모",제한없음,제한없음,제한없음,제한없음,출산일부터 1년 이내에 신청하는 부 또는 모국가기관과 다른 지방자치단체 등에서 같은 사업에 대한 지원금을 받는 사람은 수혜금액만큼 빼고 지급,,#NAME?,#NAME?,방문접수,"인구증가시책 지원신청서(신분증 지참), 통장 사본",-,거창군청 행정복지국 인구교육과(인구정책담당),해당없음,https://www.geochang.go.kr/portal/Index.do?c=WW0913000000,https://www.geochang.go.kr/
전입 지원금 사업,R2021021803014,"전입 세대, 학생, 군 장병, 다자녀 가구, 기관 및 기업체에 전입 인센티브를 제공하여 실거주자의 전입유도를 통한 단양군 인구늘리기 기여","주거·금융, 생활비지원 및 금융 혜택",쓰레기봉투 및 전입장려금 지급,연중,연중,연간 50~100여 명,충북 단양군,999,제한없음,- 쓰레기봉투지원 : 전입세대- 다자녀가구 전입장려금 : 1년 이상 다른 지역에 주민등록을 두었던 세자녀 이상 양육세대가 전입하여 1년이 지난 경우- 전입 학생장려금 : 단양군 소재 고등학교에 진학한 다른 시군구에서 전입한 학생- 전입 군장병 장려금 : 관내 주둔 군 부대에 복무중인 군 장병으로 다른 지역에서 전입하여 1년 이상 주소 유지- 인구증가 시책 유공기관 및 기업체 : 전입하여 6개월 이상 지난 기관 및 기업체 소속자,제한없음,제한없음,제한없음,제한없음,각 요건별 거주요건 확인 필요,-,읍면사무소 방문하여 신청서 작성,#NAME?,온라인 신청 불가,인구증가 지원 신청서,-,단양군청 자치행정과,주관 기관과 동일,-,-
퇴소아동자립정착금,R2021031101764,시설을 퇴소하는 아동에게 자립정착금을 지원하여 보호종료 후 안정적인 사회진출 도모,"주거·금융, 생활비지원 및 금융 혜택",1회 500만원 지급,2021.01.01.~2021.12.31.,상시,74명,전북,24,만 18세 ~ 24세,만18세 이상 시설퇴소아동,제한없음,제한없음,제한없음,제한없음,해당 없음,해당 없음,해당 시·군 방문하여 신청,시·군에서 심사 및 발표,해당 없음,신청서 등,해당 없음,여성청소년과,각 시·군 직접 수행,해당 없음,https://www.jeonbuk.go.kr/
결혼장려 지원,R2021021803180,결혼에 따르는 비용의 일부를 지원하고 지역 내 결혼 친화적 분위기를 조성하여 안정착 및 자연적 인구증가 도모,"주거·금융, 생활비지원 및 금융 혜택","2백만원 지급(1차 신청시 1백만원 지급, 2차 1년 이후 요건충족자에 한해 추가 1백만원 지급) *2차 지원 요건: 1차 지원 이후 부부 모두 1년이상 계속해서 관내에 주민등록상 주소를 두고 거주 및 혼인상태 유지한 자)",상시(최초 2018. 2. 9. 이후 시행),기준일(혼인신고일로 부터 6개월 이내),-,전남 해남군,999,제한없음,"신청일 기준 부부 모두 관내 주민등록을 두고 거주하고 있으면서, 부부 중 1명은 직전 1년이상 해남군 거주이력을 가지고 있는 대상으로 기준일(혼인신고일)로 부터 6개월 이내 관할 주소지 읍·면사무소에 신청한 자",제한없음,제한없음,제한없음,제한없음,지원금 2회 분할 지급,해당 없음,방문 접수,서류 (적격 확인),방문 접수,"신청서, 개인정보수집이용제공동의서, 통장사본",해당사항 없음,해남군청 인구정책과 인구정책팀,-,http://www.haenam.go.kr/index.9is?contentUid=18e3368f655bdbc601663c9eac77167a,http://www.haenam.go.kr/
